token_address,chain,token_name,contract_name,verified,owner,creator,is_hidden_owner,is_proxy,is_sellable,is_hardcoded_owner,has_source_code,has_abi,total_snippets,honeypot_mechanics_number,minting_mechanics_number,ownership_manipulation_number,transfer_blocking_number,stealth_fee_mechanics_number,liquidity_manipulation_number,router_manipulation_number,balance_manipulation_number,anti_analysis_features_number,block_based_restrictions_number,emergency_functions_number
0xf78d2e7936f5fe18308a3b2951a93b6c4a41f5e2,bsc,MANTRA DAO,BEP20UpgradeableProxy,True,,0xd4fb89a009cf22246b69d17a420dfb9fcd2a4014,True,True,True,False,True,True,1,1,0,0,0,0,0,0,0,0,0,0
0xf7b6d7e3434cb9441982f9534e6998c43eef144a,bsc,Asva,ASVA,True,,0xa7de63b283bf30a26dc4cb37b5696fa70d188f74,True,False,True,False,True,True,2,0,2,0,0,0,0,0,0,0,0,0
0xf859bf77cbe8699013d6dbc7c2b926aaf307f830,bsc,Berry Tributes,BerryMaster,True,,0x3e6f6ed240ef7ed559831f369db898a2813327a1,True,False,True,False,True,True,1,1,0,0,0,0,0,0,0,0,0,0
0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd,bsc,ChainLink Token,BEP20LINK,True,0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d,0x970609ba2c160a1b491b90867681918bdc9773af,False,False,True,False,True,True,2,0,2,0,0,0,0,0,0,0,0,0
0xf938346d7117534222b48d09325a6b8162b3a9e7,eth,Choppy,Choppy,True,0x0000000000000000000000000000000000000000,0x7c8ebc103d1b66dada4740c814e02aeac7d27ea1,False,False,True,False,True,True,2,0,0,0,0,0,0,0,0,0,2,0
0xf952fc3ca7325cc27d15885d37117676d25bfda6,bsc,Goose Golden Egg,EggToken,True,0xe70e9185f5ea7ba3c5d63705784d8563017f2e57,0x9e40abb0b3d27b285e8c6c383888285762a649e2,False,False,True,False,True,True,6,0,6,0,0,0,0,0,0,0,0,0
0xf9752a6e8a5e5f5e6eb3ab4e7d8492460fb319f0,bsc,Ares Protocol,Ares,True,,0xbcaf727812a103a7350554b814afa940b9f8b87d,True,False,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0
0xf9902edfca4f49dcaebc335c73aebd82c79c2886,eth,ADO Protocol,ADOToken,True,0x05d6f7e900424e90d9229a5dcaa9212ce86f9c54,0x05d6f7e900424e90d9229a5dcaa9212ce86f9c54,False,False,True,False,True,True,3,0,2,0,0,0,0,1,0,0,0,0
0xf9cec8d50f6c8ad3fb6dccec577e05aa32b224fe,bsc,Chroma,ChromaToken,True,,0xc27bd738197d76976c235cbc1773260da90ec300,True,False,True,False,True,True,4,0,4,0,0,0,0,0,0,0,0,0
0xf9fb4ad91812b704ba883b11d2b576e890a6730a,eth,Aave AMM Market WETH,InitializableImmutableAdminUpgradeabilityProxy,True,,0xa6842c2c7fece4cdc6a4aaad331eb1c7910e419a,True,True,False,False,True,True,1,1,0,0,0,0,0,0,0,0,0,0
0xfa262f303aa244f9cc66f312f0755d89c3793192,bsc,RigelToken,RigelToken,True,,0x4f86c4388ce9d7dbfaac5114e27f63903586841c,True,False,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0
0xfa40d8fc324bcdd6bbae0e086de886c571c225d4,bsc,Wizardia Token,WZRDtoken,True,,0x6633c85fc833969e1efa3361ac718acea7312b96,True,False,True,False,True,True,2,0,2,0,0,0,0,0,0,0,0,0
0xfa5047c9c78b8877af97bdcb85db743fd7313d4a,eth,ROOK,RookToken,True,,0x3c530cb040d71047d94791fddc5cc8e54b648730,True,False,True,False,True,True,2,0,2,0,0,0,0,0,0,0,0,0
0xfa63503f9e61fd59cbea137c122fa55c2daff14a,eth,LITAS,Litas,True,,0x5ef420bc22be60829e1ca03aa1c1a093888a4584,True,False,False,False,True,True,1,0,1,0,0,0,0,0,0,0,0,0
