token_address,chain,token_name,total_holders,total_supply,total_circulating_supply,howmany_holders_exceeding_5_percent,total_top_10_balance,top10_percentage_of_total_supply,top10_percentage_of_circulating_supply,top_10_less_than_70_percent_of_total,top_10_less_than_70_percent_of_circulating
0x0f998b8ACE8A7110e5E91FA2b47D11885AB27916,bsc,x42 Protocol,29,1000000000000,1000000000000,1,995873729633,99.5873729633,99.5873729633,False,False
0x0Fbb3Bb17BD250f7bb51e30Ff2f6Aa0A840FE361,bsc,ShadowPurple,30,1000000000000000000000000000,1000000000000000000000000000,1,999984561669595080549232605,99.9984561669595,99.9984561669595,False,False
0x0fBd271b1619B67bCC7cb724610D9a0165ec0079,eth,Lambo X,18,100000000000000000000000000000,100000000000000003975098985409,1,99965630570903148977792745472,99.96563057090316,99.96563057090314,False,False
0x0Fd2c30422e7245d2a3e02e4eCdFe1F781411d83,bsc,Pepe Unchained,40,1000000000000000000000000000,1000000000000000010452581120,1,971623788489880450287796224,97.16237884898804,97.16237884898804,False,False
0x0FF6Df41d8B19844b05314292218480D64eD439f,bsc,Opal DeFi,2,1000000000000000,1000000000000000,1,1000000000000001,100.00000000000011,100.00000000000011,False,False
0x1045e2D79504D421eBD2feb0AB2e0b0c1CC50e95,bsc,FantomMoon,25,1000000000000000000000000,997016818026062265702967,1,993899780384472266653696,99.38997803844723,99.68736358452195,False,False
0x104Eafc7a1AcF569D6d3E23fAA14a54DCfa47B4F,bsc,SBF Sucks,15,1000000000000000000,1000000000000000002,1,999568957747512167,99.95689577475122,99.95689577475122,False,False
0x10a4aa0935c61D665597B21dbc83A2608489eEe6,bsc,ShillMoonBSC,145,100000000000000000000000,53182347356168938083921,1,6070547643462769909760,6.07054764346277,11.414591392154131,True,True
0x10Be8Ca2b4a05D44172A530e04F38D9e96F360b1,bsc,Shackleford,29,1000000000000000000000000,1000000000000000005589056,6,828447588062795688574976,82.84475880627957,82.84475880627957,False,False
0x10D8d21Cd68aCD5C142eF25151eE66f0fa19DBED,bsc,POM COIN,37,10000000000000000000000000,10000000000000000178208993,3,9995977607907719468548096,99.95977607907719,99.95977607907719,False,False
0x113852628b0F7A4f5f687deEFdC9DA250582be95,bsc,BabyDot,27,1000000000000000000000000,999999999999999999218248,1,999999998051825632003086,99.99999980518255,99.99999980518255,False,False
0x1142A1d5B94FcAAcb77F39019d4895f8Cd3804EC,bsc,Dogshit Luck,69,100000000000000000000000000000000,37359799625430946000920427663311,4,98799691106281638081112652207662,98.79969110628164,264.4545530137917,False,False
0x1144fe9B427fA08125C25528770cd8748f8646Eb,bsc,Bitspawn,27,1000000000000,1000000000000,1,999022484704,99.9022484704,99.9022484704,False,False
0x114DF2B9669119e10ed0871120397ef8F6EFe2cc,bsc,Trading GPT,54,100000000000000000000000000,99999999999999998463403008,6,83456765220560000377683968,83.45676522056,83.45676522056,False,False
0x1165D7420A5f21eFC3c8b836f0B083AaDC58905b,bsc,Baby Maga,43,100000000000000000000000,99999999999999999899960,6,81715057950647935041536,81.71505795064795,81.71505795064795,False,False
