token_address,chain,token_name,price_usd,liquidity_usd,market_cap_usd,liquidity_to_market_cap_ratio,token_volume,volume_usd,volume_to_liquidity_ratio,locked_liquidity_percent,locked_95_for_15_days,creator_under_5_percent,creator_percent_of_lp,owner_under_5_percent,owner_percent_of_lp,total_lp_supply,lp_holders_count,error
0xc13F4F0F865bAc08F62654B57E38669EbC4747a3,eth,Creds,0.005988729464331389,1.3829713064685834e-14,6.564546771308624e+22,2.1067277828121743e-37,0.0,0.0,0.0,0.0,False,False,24.6561,False,24.6561,1220.7840296888264,2,Liquidity pool info could not be retrieved.
0xC1479A7FEAeC849237fA3256f99Fc281D69CFC6f,bsc,DendySoft,5.800681436505126e-07,5.649399664641073e-20,5.8006814365051263e+20,9.7392e-41,0.0,0.0,0.0,100.0,False,False,99.9152,True,0.0,1e-15,1,Liquidity pool info could not be retrieved.
0xc154e3c8205D12dd6d3108C8ffC580A4bB5B0Cf3,bsc,CFM,,,,,,,,,,,,,,,,Exception during liquidity analysis in liquidity_analysis: 'NoneType' object is not subscriptable
0xC16211410Adb5b662506510b754fC97957591186,bsc,HyperX,6.481598871958735e-10,6.572407001931132e-10,596704177605863.9,1.1014514810842081e-24,0.0,0.0,0.0,0.0,False,False,79.1966,True,0.0,0.000330039785428121,2,Liquidity pool info could not be retrieved.
0xc16b3bF9eA7B94A64786A60BeE48094AF3C24e1c,bsc,Chocolate,0.016930831127468994,0.010512742414751149,1.581139599664766e+16,6.648838860895057e-19,519613.512069327,8797.488624396847,836840.5005388972,100.0,False,True,0.0,False,55.1422,1.076317951255551,3,
0xc18a4675DD59Ee6Ac51825A6715cd6AedaeA53de,bsc,Stallnidvex,1.4463489245759638e-11,2.336166141898817e-06,173561870949115.66,1.3460134585572236e-20,0.0,0.0,0.0,0.0,False,False,37.6262,False,37.6262,8.265792394608217,2,Liquidity pool info could not be retrieved.
0xc1c95a34c484d2edFDA88109E8B96666D3305D09,bsc,SpaceChimp,2.5691765609769264,0.0031807520748215433,2149116241669970.8,1.4800279357388039e-18,1935005.137466,4971369.844547583,1562954209.4463625,0.0,False,True,2.2759,True,0.0,0.02578770678328238,3,
0xc1cfCC5f89e51cB0802436D5577eCE6821a89568,bsc,RAKT COIN,2.929600439053923e-11,1.5086041199032546e-08,410144061467549.25,3.6782298261378483e-23,0.0,0.0,0.0,0.0,False,False,46.3975,False,46.3975,0.037600354504600315,2,Liquidity pool info could not be retrieved.
0xc1Dd93b00F88C61938F8AA3823718482DE7d295D,bsc,Lucretius,13683.747032513744,2.736749406502749e-14,1.3683747032513744e+16,2e-30,0.0,0.0,0.0,100.0,False,False,96.2307,False,96.2307,1e-15,1,Liquidity pool info could not be retrieved.
0xc1F4772f7D00d5C0E710a8aDE32c84132D6cd829,bsc,DogeCove,0.7917798163643333,1.6666598269467184e-07,3.5532143860982508e+16,4.6905692869741554e-24,0.0,0.0,0.0,0.0,False,False,26.8069,True,0.0,2.460929798464e-06,2,Liquidity pool info could not be retrieved.
0xC1fCe0ed2a27B19d8F7eD6B8007Bf6Cb39b042c7,bsc,Aurum Protocol,3.568378991268278e-10,5.10447625895217e-07,213122379813509.9,2.395091619856525e-21,0.0,0.0,0.0,0.0,False,False,17.7216,False,17.7216,0.364218246338536,2,Liquidity pool info could not be retrieved.
0xc222bfEBb374661492206f3b5cfbDFEe5c43C299,bsc,Alpaca,3.796055426491165e-12,1.7932844049067397e-08,379605542649.1166,4.724073290374315e-20,0.0,0.0,0.0,0.0,False,False,94.8962,True,0.0,0.12615450414314056,2,Liquidity pool info could not be retrieved.
0xC23a8B8E76B21d2C01e43f08050f6FBCE28663A9,bsc,Peace Floki,2.5976067982694117e-08,2.12767990285695e-09,1.5546886192056856e+16,1.3685569422538222e-25,0.0,0.0,0.0,0.0,False,False,9.9756,False,9.9756,0.000178748329341856,2,Liquidity pool info could not be retrieved.
